	Correlation Matrix All Macrounits												
	year	MDperKMsqFall_mean	AvrgWinterMinTemp	HuntDen_All_mean	CoyoteDen_mean	WellDen_mean	WoodyVeg_mean	MDperKMsqFall_mean_tplus1	MDperKMsqFall_mean_tplus2	FawnTotalRatio_mean	FawnTotalRatio_mean_tminus1	RepRateFall_mean	RepRateFall_mean_tminus1
	year	MDperKMsqFall_mean	AvrgWinterMinTemp	HuntDen_All_mean	CoyoteDen_mean	WellDen_mean	WoodyVeg_mean	MDperKMsqFall_mean_tplus1	MDperKMsqFall_mean_tplus2	FawnTotalRatio_mean	FawnTotalRatio_mean_tminus1	RepRateFall_mean	RepRateFall_mean_tminus1
year	10.000.000	0.65247737	0.36737021	0.216482954	0.276259662	0.8481690	10.000.000	0.65247737	0.652477371	-0.49511462	-0.392699148	-0.11293678	-0.112936782
MDperKMsqFall_mean	0.6524774	100.000.000	0.11540300	0.363221376	0.090694828	0.3954355	0.6524774	0.72295979	0.626825773	-0.33165865	-0.425140134	-0.42501058	0.059327809
AvrgWinterMinTemp	0.3673702	0.11540300	100.000.000	0.145405865	-0.034170701	0.4903384	0.3673702	0.17148604	0.358942798	-0.00470726	0.075544210	0.05040453	-0.187104098
HuntDen_All_mean	0.2164830	0.36322138	0.14540587	1.000.000.000	-0.103938959	0.2964754	0.2164830	0.29144522	0.183001803	0.03714165	0.001321645	-0.13242236	-0.179813688
CoyoteDen_mean	0.2762597	0.09069483	-0.03417070	-0.103938959	1.000.000.000	0.2165645	0.2762597	0.01803474	0.009186234	-0.07798421	0.001784557	-0.04140540	-0.008346533
WellDen_mean	0.8481690	0.39543552	0.49033838	0.296475398	0.216564491	10.000.000	0.8481690	0.41623634	0.448749332	-0.22762152	-0.139812617	-0.14488888	-0.158338784
WoodyVeg_mean	10.000.000	0.65247737	0.36737021	0.216482954	0.276259662	0.8481690	10.000.000	0.65247737	0.652477371	-0.49511462	-0.392699148	-0.11293678	-0.112936782
MDperKMsqFall_mean_tplus1	0.6524774	0.72295979	0.17148604	0.291445221	0.018034742	0.4162363	0.6524774	100.000.000	0.722959794	-0.42514013	-0.392994587	0.05932781	-0.094074604
MDperKMsqFall_mean_tplus2	0.6524774	0.62682577	0.35894280	0.183001803	0.009186234	0.4487493	0.6524774	0.72295979	1.000.000.000	-0.39299459	-0.512754937	-0.09407460	0.056985532
FawnTotalRatio_mean	-0.4951146	-0.33165865	-0.00470726	0.037141652	-0.077984209	-0.2276215	-0.4951146	-0.42514013	-0.392994587	100.000.000	0.460355329	-0.31366280	0.227705412
FawnTotalRatio_mean_tminus1	-0.3926991	-0.42514013	0.07554421	0.001321645	0.001784557	-0.1398126	-0.3926991	-0.39299459	-0.512754937	0.46035533	1.000.000.000	0.18561477	-0.313662799
RepRateFall_mean	-0.1129368	-0.42501058	0.05040453	-0.132422359	-0.041405402	-0.1448889	-0.1129368	0.05932781	-0.094074604	-0.31366280	0.185614769	100.000.000	-0.320668036
RepRateFall_mean_tminus1	-0.1129368	0.05932781	-0.18710410	-0.179813688	-0.008346533	-0.1583388	-0.1129368	-0.09407460	0.056985532	0.22770541	-0.313662799	-0.32066804	1.000.000.000
													
	Correlation Matrix Macrounit 4												
	year	MDperKMsqFall_mean	AvrgWinterMinTemp	HuntDen_All_mean	CoyoteDen_mean	WellDen_mean	WoodyVeg_mean	MDperKMsqFall_mean_tplus1	MDperKMsqFall_mean_tplus2	FawnTotalRatio_mean	FawnTotalRatio_mean_tminus1	RepRateFall_mean	RepRateFall_mean_tminus1
year	10.000.000	0.46737497	0.367370212	0.70219381	-0.14576562	0.639360624	10.000.000	0.46737497	0.46737497	-0.7613064	-0.6422519	-0.112072670	-0.11207267
MDperKMsqFall_mean	0.4673750	100.000.000	0.357474507	0.56282088	0.00823473	0.031450329	0.4673750	0.56630670	0.41271692	-0.1162949	-0.2519890	-0.443845021	0.33964651
AvrgWinterMinTemp	0.3673702	0.35747451	1.000.000.000	0.25963987	-0.19177589	0.183889074	0.3673702	0.36853857	0.17178932	-0.1711253	-0.2565126	0.009599203	0.08833345
HuntDen_All_mean	0.7021938	0.56282088	0.259639875	100.000.000	0.08352569	0.050763805	0.7021938	0.51640300	0.41495361	-0.5124158	-0.4441134	-0.121723210	-0.10778363
CoyoteDen_mean	-0.1457656	0.00823473	-0.191775890	0.08352569	100.000.000	-0.212086291	-0.1457656	0.05312181	-0.01538620	0.2424256	0.1849783	0.141110826	-0.19582502
WellDen_mean	0.6393606	0.03145033	0.183889074	0.05076381	-0.21208629	1.000.000.000	0.6393606	0.06121901	0.11151825	-0.5078160	-0.5315599	-0.009538884	-0.06243361
WoodyVeg_mean	10.000.000	0.46737497	0.367370212	0.70219381	-0.14576562	0.639360624	10.000.000	0.46737497	0.46737497	-0.7613064	-0.6422519	-0.112072670	-0.11207267
MDperKMsqFall_mean_tplus1	0.4673750	0.56630670	0.368538569	0.51640300	0.05312181	0.061219007	0.4673750	100.000.000	0.56630670	-0.2519890	-0.4041538	0.339646513	0.09951832
MDperKMsqFall_mean_tplus2	0.4673750	0.41271692	0.171789323	0.41495361	-0.01538620	0.111518250	0.4673750	0.56630670	100.000.000	-0.4041538	-0.3281803	0.099518318	-0.00583814
FawnTotalRatio_mean	-0.7613064	-0.11629490	-0.171125288	-0.51241581	0.24242555	-0.507815979	-0.7613064	-0.25198897	-0.40415377	10.000.000	0.7983929	-0.124465583	0.12964305
FawnTotalRatio_mean_tminus1	-0.6422519	-0.25198897	-0.256512597	-0.44411341	0.18497826	-0.531559854	-0.6422519	-0.40415377	-0.32818026	0.7983929	10.000.000	-0.153374482	-0.12446558
RepRateFall_mean	-0.1120727	-0.44384502	0.009599203	-0.12172321	0.14111083	-0.009538884	-0.1120727	0.33964651	0.09951832	-0.1244656	-0.1533745	1.000.000.000	-0.29369890
RepRateFall_mean_tminus1	-0.1120727	0.33964651	0.088333446	-0.10778363	-0.19582502	-0.062433609	-0.1120727	0.09951832	-0.00583814	0.1296430	-0.1244656	-0.293698899	100.000.000
